データ種別	項目名	項目名（日本語）	説明	データ型
現場	pj_no	PJ番号	プロジェクト番号。現場データと号棟データの紐付けキー。	数値
現場	jukyo	住居表示	住所（市区町村まで）	テキスト
現場	chiseki_js_hb	地積 (実測)(平米）	地積㎡数(実測)	数値
現場	chiseki_kb_hb	地積 (公簿)(平米）	地積㎡数(公簿)	数値
現場	yoto1	用途地域1	「第一種低層住居専用地域・第二種低層住居専用地域・第一種中高層住居専用地域・第二種中高層住居専用地域・第一種住居地域・第二種住居地域・準住居地域・田園住居地域・近隣商業地域・商業地域・準工業地域・工業地域・工業専用地域・指定のない区域」 ※2つの用途地域にまたがっている場合は、用途地域2を利用	カテゴリ
現場	yoto2	用途地域2	「第一種低層住居専用地域・第二種低層住居専用地域・第一種中高層住居専用地域・第二種中高層住居専用地域・第一種住居地域・第二種住居地域・準住居地域・田園住居地域・近隣商業地域・商業地域・準工業地域・工業地域・工業専用地域・指定のない区域」 ※2つの用途地域にまたがっている場合は、用途地域2を利用	カテゴリ
現場	kempei1	建ぺい率1	用途地域1に対する建ぺい率	数値
現場	kempei2	建ぺい率2	用途地域2に対する建ぺい率	数値
現場	yoseki1	容積率1	用途地域1に対する容積率	数値
現場	yoseki2	容積率2	用途地域2に対する容積率	数値
現場	josui	設備(上水)	「公営・私営・井戸」	カテゴリ
現場	gesui	設備(下水)	「公共下水・個別浄化槽・集中浄化槽・汲取式」	カテゴリ
現場	gas	設備(ガス)	「都市ガス・個別プロパン・集中プロパン」	カテゴリ
現場	usui	設備(雨水)	「宅内処理・公共下水・側溝・水路」	カテゴリ
現場	tateuri_su	販売種別(建売)	建売の棟数	数値
現場	tochiuri_su	販売種別(土地売り)	土地売りの区画数	数値
現場	joken_su	販売種別(条件付売地)	条件付売地の区画数	数値
現場	hy1f_date_su	販売予定(平屋建)	平屋建の棟数	数値
現場	hy2f_date_su	販売予定(2階建)	2階建の棟数	数値
現場	hy3f_date_su	販売予定(3階建)	3階建の棟数	数値
現場	road1_hk	道路方角1	「東・西・南・北・北東・北西・南東・南西」 1つの土地が、どの方角に接しているかを表記	カテゴリ
現場	road1_sb	道路種別1	「公道・私道・法定外」 ※道路方角1に対応	カテゴリ
現場	road1_fi	道路幅員1	道路幅員 ※道路方角1に対応	数値
現場	road1_mg	道路間口1	道路間口 ※道路方角1に対応	数値
現場	road2_hk	道路方角2	「東・西・南・北・北東・北西・南東・南西」	カテゴリ
現場	road2_sb	道路種別2	「公道・私道・法定外」 ※道路方角2に対応	カテゴリ
現場	road2_fi	道路幅員2	道路幅員 ※道路方角2に対応	数値
現場	road2_mg	道路間口2	道路間口 ※道路方角2に対応	数値
現場	road3_hk	道路方角3	「東・西・南・北・北東・北西・南東・南西」	カテゴリ
現場	road3_sb	道路種別3	「公道・私道・法定外」 ※道路方角3に対応	カテゴリ
現場	road3_fi	道路幅員3	道路幅員 ※道路方角3に対応	数値
現場	road3_mg	道路間口3	道路間口 ※道路方角3に対応	数値
現場	road4_hk	道路方角4	「東・西・南・北・北東・北西・南東・南西」	カテゴリ
現場	road4_sb	道路種別4	「公道・私道・法定外」 ※道路方角4に対応	カテゴリ
現場	road4_fi	道路幅員4	道路幅員 ※道路方角4に対応	数値
現場	road4_mg	道路間口4	道路間口 ※道路方角4に対応	数値
現場	kaoku_um	家屋現況	「(有)・(無)」	2値
現場	kaoku_hb	家屋面積(平米)	家屋面積㎡数	数値
現場	yheki_kotei	高低差現況宅盤と道/隣の最大高低差	宅盤と道路含む隣地の最大高低差	数値
現場	yheki_umu	高低差既存擁壁	「(有)・(無)」	2値
現場	yheki_yohi	高低差新設擁壁	「(要)・(不要)」	2値
現場	gk_sho_kyori	小学校距離	小学校距離	数値
現場	gk_chu_kyori	中学校距離	中学校距離	数値
現場	kborjs	取引形態	「公簿・実測」	2値
現場	hw_status	引渡の状態	「更地・造成上り・建物有・山林・田・畑・雑木林・竹林・その他」	カテゴリ
現場	toshikuiki1	都市計画区域別1	「市街化区域・市街化調整区域・非線引き区域・準都市計画区域・都市計画区域外」 ※2つの都市計画区域にまたがっている場合は、都市計画区域別2を利用	カテゴリ
現場	toshikuiki2	都市計画区域別2	「市街化区域・市街化調整区域・非線引き区域・準都市計画区域・都市計画区域外」 ※2つの都市計画区域にまたがっている場合は、都市計画区域別2を利用	カテゴリ
現場	kodochiku	高度地区	「第1種・第2種・第3種・第4種・第5種・第6種・第7種・第8種・指定無・その他」	カテゴリ
現場	chikukeikaku	地区計画	「(有)・(無)」	2値
現場	keikakuroad	計画道路	「(有)・(無)」	2値
現場	kaihatsukyoka	開発許可	「(要)・(不要)」	2値
現場	t53kyoka	５３条の許可	「(要)・(不要)」	2値
現場	hokakyoka	その他許認可	「(要)・(不要)」	2値
現場	bokachiiki	防火指定	「防火地域・準防火地域・22条区域・防火指定無・その他」	カテゴリ
現場	minmenseki	最低敷地面積	最低敷地面積	数値
現場	hokakisei1	その他規制①	その他規制　※複数ある場合は①～④を利用	テキスト
現場	hokakisei2	その他規制②	その他規制　※複数ある場合は①～④を利用	テキスト
現場	hokakisei3	その他規制③	その他規制　※複数ある場合は①～④を利用	テキスト
現場	hokakisei4	その他規制④	その他規制　※複数ある場合は①～④を利用	テキスト
現場	kinshijiko	仕入禁止事項との抵触等	「(有)・(無)」	カテゴリ
現場	rosenka_hb	路線価格(平米)	路線価格㎡単価を収録	数値
現場	koji_hb	公示地価(平米)	公示地価㎡単価を収録	数値
現場	kijun_hb	基準地価(平米)	基準地価㎡単価を収録	数値
現場	mseki_yt_hb	有効宅地面積(平米)	有効宅地面積㎡数	数値
現場	mseki_rd_hb	道路（SB含む）(平米)	セットバックを含む道路面積㎡数	数値
現場	mseki_dp_hb	ゴミ置場・公園等(平米)	ゴミ置き場・公園等の面積㎡数	数値
現場	tc_mseki_min_hb	土地最小面積(平米)	土地最小面積㎡数	数値
現場	tc_mseki_max_hb	土地最大面積(平米)	土地最大面積㎡数	数値
現場	tt_mseki_min_hb	建物最小面積(平米)	建物最小面積㎡数	数値
現場	tt_mseki_max_hb	建物最大面積(平米)	建物最大面積㎡数	数値
現場	tc_mseki_avg_hb	土地平均面積(平米)	土地平均面積㎡数	数値
現場	tt_mseki_avg_hb	建物平均面積(平米)	建物平均面積㎡数	数値
